time_created,Blog,Bookmark,Comment,Discussion,Discussion Reply,File,Idea,mission_accepted,mission_applied,mission_offered,user
2009-10-29,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2009-10-30,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
2009-11-02,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0
2009-11-03,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0
2009-11-04,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
2009-11-05,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2009-11-06,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2009-11-09,0.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0
2009-11-10,0.0,1.0,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,14.0
2009-11-12,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0
2009-11-13,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0
2009-11-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-11-16,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
2009-11-17,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
2009-11-18,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
2009-11-19,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0
2009-11-20,1.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,11.0
2009-11-23,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0
2009-11-24,1.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0
2009-11-25,1.0,2.0,6.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,11.0
2009-11-26,1.0,4.0,3.0,4.0,5.0,16.0,0.0,0.0,0.0,0.0,29.0
2009-11-27,1.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
2009-11-28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-30,1.0,3.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0
2009-12-01,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
2009-12-02,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
2009-12-03,3.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,19.0
2009-12-04,2.0,0.0,6.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,16.0
2009-12-07,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2009-12-08,0.0,6.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0
2009-12-09,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0
2009-12-10,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,24.0
2009-12-11,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0
2009-12-14,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
2009-12-15,1.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0
2009-12-16,0.0,6.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0
2009-12-17,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2009-12-18,4.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2009-12-21,4.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
2009-12-22,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
